title,publisher,scheme,doc_type,url,source_effective_date
Groww Large Cap Fund Direct Growth,Groww Asset Management Limited,Groww Large Cap Fund,scheme_page,https://growwmf.in/mutual-funds/groww-large-cap-fund-direct-growth,(not stated - live page)
Groww Large Cap Fund Regular Growth,Groww Asset Management Limited,Groww Large Cap Fund,scheme_page,https://growwmf.in/mutual-funds/groww-large-cap-fund-regular-growth,(not stated - live page)
Groww ELSS Tax Saver Fund Direct Growth,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,scheme_page,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-direct-growth,(not stated - live page)
Groww ELSS Tax Saver Fund Regular Growth,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,scheme_page,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-regular-growth,(not stated - live page)
Groww Nifty Total Market Index Fund Direct Growth,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,scheme_page,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-fund-direct-growth,(not stated - live page)
Groww Nifty Total Market Index Fund Regular Growth,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,scheme_page,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-regular-growth,(not stated - live page)
Groww Liquid Fund Direct Growth,Groww Asset Management Limited,Groww Liquid Fund,scheme_page,https://growwmf.in/mutual-funds/groww-liquid-fund-direct-growth,(not stated - live page)
Groww Liquid Fund Regular Growth,Groww Asset Management Limited,Groww Liquid Fund,scheme_page,https://growwmf.in/mutual-funds/groww-liquid-fund-regular-growth,(not stated - live page)
Scheme Information Document — Groww Large Cap Fund,Groww Asset Management Limited,Groww Large Cap Fund,sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20Large%20Cap%20Fund.pdf,2025-11-27
Scheme Information Document — Groww ELSS Tax Saver Fund,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,2025-11-27
Scheme Information Document — Groww Nifty Total Market Index Fund,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Index%20Fund/SID_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,2026-07-30
Scheme Information Document — Groww Liquid Fund,Groww Asset Management Limited,Groww Liquid Fund,sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Debt%20Fund/SID_Groww%20Liquid%20Fund.pdf,2025-11-27
Key Information Memorandum — Groww Large Cap Fund,Groww Asset Management Limited,Groww Large Cap Fund,kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Largecap%20Fund.pdf,2025-11-27
Key Information Memorandum — Groww ELSS Tax Saver Fund,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,2025-11-27
Key Information Memorandum — Groww Nifty Total Market Index Fund,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/Index%20Fund/KIM_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,2026-07-30
Key Information Memorandum — Groww Liquid Fund,Groww Asset Management Limited,Groww Liquid Fund,kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Liquid%20Fund.pdf,2025-11-27
Monthly Factsheet — August 2026,Groww Asset Management Limited,(all schemes),factsheet,https://growwmf.in/downloads/fact-sheet,2026-08-31
"Total Expense Ratio Disclosure — 20 Sep 2026 (Direct & Regular, per scheme)",Groww Asset Management Limited,(all schemes),ter_disclosure,https://growwmf.in/downloads/expense-ratio,2026-09-20
"Riskometer Disclosure — FY 2026-27 (monthly, Apr-Aug 2026)",Groww Asset Management Limited,(all schemes),riskometer_disclosure,https://growwmf.in/downloads/riskometer,2026-08-31
Capital Gains/Loss Account Statement,KFin Technologies Limited (RTA),(all schemes),statement_guidance,https://mfs.kfintech.com/investor/General/CapitalGainsLossAccountStatement,(not stated - live page)
Investor Corner,AMFI,(all schemes),investor_education,https://www.amfiindia.com/investor,(not stated - live page)
Tax Regime for Mutual Funds (STALE — states FY 2024-25),AMFI,(all schemes),tax_guidance,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=TaxRegimeForMutualFunds,FY 2024-25
Categorization of Mutual Fund Schemes,AMFI,(all schemes),regulatory_explainer,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=CategorizationOfMutualFundSchemes,per SEBI Oct 2017 circular
