id,document_url,sha256,bytes,fetched_at
large-cap-direct-page,https://growwmf.in/mutual-funds/groww-large-cap-fund-direct-growth,9fb120df539cded809b117295c0911cdec0034b7d9197d18e8b1bc071b4d0733,115007,2026-09-21T06:37:19.188Z
large-cap-regular-page,https://growwmf.in/mutual-funds/groww-large-cap-fund-regular-growth,df52f2e859a6ab59ea6bea71203dc458ba19057d148bd006b8e161dc5b501b74,115019,2026-09-21T06:37:19.799Z
elss-direct-page,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-direct-growth,273001f490abb0b0f4f8c1a54be9a7d50bd0a62a00d5b55d3836fbe64c607356,115018,2026-09-21T06:37:20.391Z
elss-regular-page,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-regular-growth,458e2d10146581e7788188dcadb63ca40aab7cf020ad994b967d1934db6a1e2e,115030,2026-09-21T06:37:21.283Z
nifty-tmi-direct-page,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-fund-direct-growth,a00528cb01264c4a4f78a31ff223c1fd86a679d52241a69c92e1510cb22c8a88,246437,2026-09-21T06:37:21.471Z
nifty-tmi-regular-page,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-regular-growth,9ef783fc92f166f3a44fffc24dcc0e61b030a3854cc1cc2011a1b7bcccb50491,246444,2026-09-21T06:37:22.037Z
liquid-direct-page,https://growwmf.in/mutual-funds/groww-liquid-fund-direct-growth,92848b008431dca8ccc6be91231589df5b4be7b1e031aef97c3963581421b730,100109,2026-09-21T06:37:22.847Z
liquid-regular-page,https://growwmf.in/mutual-funds/groww-liquid-fund-regular-growth,9304b65f99e027898ad72224d05ebd59432a4aecf8a2d6b55bbe55f492e8b2eb,99245,2026-09-21T06:37:23.358Z
large-cap-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20Large%20Cap%20Fund.pdf,85c8c1ed4e265c78783d8c56d97cd2d85aa50251a79868bb8e620cc169232f43,1339528,2026-09-21T06:37:23.784Z
elss-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,772ddbbb2741fe3a631b24bc7014ffbbf5406271b417449e78347ef80e2064d4,1262374,2026-09-21T06:37:25.394Z
nifty-tmi-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Index%20Fund/SID_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,b32826ab8abe586cdc0e8b4ee6e3588cdb758e2951633a7cbda745bff7927f9f,935987,2026-09-21T06:37:26.707Z
liquid-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Debt%20Fund/SID_Groww%20Liquid%20Fund.pdf,7b10de27dcc3d384b12394bdfb86c48b4ac2e403af4648897b4510ad446cc0d6,1015891,2026-09-21T06:37:27.770Z
large-cap-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Largecap%20Fund.pdf,d53468725de8ce6d63e802e441d893e5cd4c0ad71310da88bf60d943c4937294,7327704,2026-09-21T06:37:29.467Z
elss-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,31e68de3517cb5516c8823807c0ce2f43f376eb2dc09f7aa95ebc8d4c9c8bf74,6886270,2026-09-21T06:37:31.422Z
nifty-tmi-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/Index%20Fund/KIM_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,b24fe7b1ca37e4377d1046aedd1c1ad88eefe0ebbb4eb78d02b3a02605e49919,6024559,2026-09-21T06:37:33.152Z
liquid-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Liquid%20Fund.pdf,2e0b4c85283854da003f3f98f0388e186ceed1ab2d93d69a22a7964a17df0330,858047,2026-09-21T06:37:34.074Z
monthly-factsheet-aug-2026,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Fact%20Sheet/2026%20-%202027/Monthly%20Factsheet%20August%202026.pdf,3fe2e51dd4225c0732583e71f7f4681365734fdc46a4c6c7cbf2be45a949d47c,10681039,2026-09-21T06:37:35.561Z
ter-disclosure-2026-09-20,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Expense%20Ratio/2026/September/GRMF_WEBSITE%20TER_20.09.2026.xlsx,a052a8d66c908e04492e6285f58c8c0553c39f025d5d8fc5915333276c16165c,16702,2026-09-21T06:37:38.516Z
riskometer-fy2026-27,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Riskometer/Riskometer%20-%202026%20-%202027.xlsx,83cc468510c7612d2c45fe9fda2a0d136977b7b7c9a9ebb4d2d1622a10d57923,93562,2026-09-21T06:37:38.800Z
kfintech-capital-gains-statement,https://mfs.kfintech.com/investor/General/CapitalGainsLossAccountStatement,3850a00208800f22700b82da79911c31af12aed866676eed7f8884edd334871b,69448,2026-09-21T06:37:39.280Z
amfi-investor-corner,https://www.amfiindia.com/investor,12f8dbcedc3878f388ce3d69b3fee1eb6ee424e798d8c67a02c02a11e7bdadf3,233204,2026-09-21T06:37:39.459Z
amfi-tax-regime,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=TaxRegimeForMutualFunds,0196a739bfa982fb5cf6302eed3774948a09a6c18371ed7ded7c74d97b3be570,206748,2026-09-21T06:37:39.612Z
amfi-categorization,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=CategorizationOfMutualFundSchemes,1672eff3fe5efae8bf98442ab47af34a543bcc78d519ddc686d823eab7815c6e,247832,2026-09-21T06:37:39.799Z
