id,landing_url,document_url,title,publisher,scheme,plan,doc_type,fetched_at,source_effective_date
large-cap-direct-page,https://growwmf.in/mutual-funds/groww-large-cap-fund-direct-growth,https://growwmf.in/mutual-funds/groww-large-cap-fund-direct-growth,Groww Large Cap Fund Direct Growth,Groww Asset Management Limited,Groww Large Cap Fund,Direct,scheme_page,2026-09-21,
large-cap-regular-page,https://growwmf.in/mutual-funds/groww-large-cap-fund-regular-growth,https://growwmf.in/mutual-funds/groww-large-cap-fund-regular-growth,Groww Large Cap Fund Regular Growth,Groww Asset Management Limited,Groww Large Cap Fund,Regular,scheme_page,2026-09-21,
elss-direct-page,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-direct-growth,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-direct-growth,Groww ELSS Tax Saver Fund Direct Growth,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,Direct,scheme_page,2026-09-21,
elss-regular-page,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-regular-growth,https://growwmf.in/mutual-funds/groww-elss-tax-saver-fund-regular-growth,Groww ELSS Tax Saver Fund Regular Growth,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,Regular,scheme_page,2026-09-21,
nifty-tmi-direct-page,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-fund-direct-growth,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-fund-direct-growth,Groww Nifty Total Market Index Fund Direct Growth,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,Direct,scheme_page,2026-09-21,
nifty-tmi-regular-page,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-regular-growth,https://growwmf.in/mutual-funds/groww-nifty-total-market-index-regular-growth,Groww Nifty Total Market Index Fund Regular Growth,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,Regular,scheme_page,2026-09-21,
liquid-direct-page,https://growwmf.in/mutual-funds/groww-liquid-fund-direct-growth,https://growwmf.in/mutual-funds/groww-liquid-fund-direct-growth,Groww Liquid Fund Direct Growth,Groww Asset Management Limited,Groww Liquid Fund,Direct,scheme_page,2026-09-21,
liquid-regular-page,https://growwmf.in/mutual-funds/groww-liquid-fund-regular-growth,https://growwmf.in/mutual-funds/groww-liquid-fund-regular-growth,Groww Liquid Fund Regular Growth,Groww Asset Management Limited,Groww Liquid Fund,Regular,scheme_page,2026-09-21,
large-cap-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20Large%20Cap%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20Large%20Cap%20Fund.pdf,Scheme Information Document — Groww Large Cap Fund,Groww Asset Management Limited,Groww Large Cap Fund,,sid,2026-09-21,2025-11-27
elss-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Equity%20Fund/SID_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,Scheme Information Document — Groww ELSS Tax Saver Fund,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,,sid,2026-09-21,2025-11-27
nifty-tmi-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Index%20Fund/SID_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Index%20Fund/SID_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,Scheme Information Document — Groww Nifty Total Market Index Fund,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,,sid,2026-09-21,2026-07-30
liquid-sid,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Debt%20Fund/SID_Groww%20Liquid%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/SID/Debt%20Fund/SID_Groww%20Liquid%20Fund.pdf,Scheme Information Document — Groww Liquid Fund,Groww Asset Management Limited,Groww Liquid Fund,,sid,2026-09-21,2025-11-27
large-cap-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Largecap%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Largecap%20Fund.pdf,Key Information Memorandum — Groww Large Cap Fund,Groww Asset Management Limited,Groww Large Cap Fund,,kim,2026-09-21,2025-11-27
elss-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20ELSS%20Tax%20Saver%20Fund.pdf,Key Information Memorandum — Groww ELSS Tax Saver Fund,Groww Asset Management Limited,Groww ELSS Tax Saver Fund,,kim,2026-09-21,2025-11-27
nifty-tmi-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/Index%20Fund/KIM_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/Index%20Fund/KIM_Groww%20Nifty%20Total%20Market%20Index%20Fund.pdf,Key Information Memorandum — Groww Nifty Total Market Index Fund,Groww Asset Management Limited,Groww Nifty Total Market Index Fund,,kim,2026-09-21,2026-07-30
liquid-kim,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Liquid%20Fund.pdf,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/KIM/KIM_Active%20Funds/KIM_Groww%20Liquid%20Fund.pdf,Key Information Memorandum — Groww Liquid Fund,Groww Asset Management Limited,Groww Liquid Fund,,kim,2026-09-21,2025-11-27
monthly-factsheet-aug-2026,https://growwmf.in/downloads/fact-sheet,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Fact%20Sheet/2026%20-%202027/Monthly%20Factsheet%20August%202026.pdf,Monthly Factsheet — August 2026,Groww Asset Management Limited,,,factsheet,2026-09-21,2026-08-31
ter-disclosure-2026-09-20,https://growwmf.in/downloads/expense-ratio,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Expense%20Ratio/2026/September/GRMF_WEBSITE%20TER_20.09.2026.xlsx,"Total Expense Ratio Disclosure — 20 Sep 2026 (Direct & Regular, per scheme)",Groww Asset Management Limited,,,ter_disclosure,2026-09-21,2026-09-20
riskometer-fy2026-27,https://growwmf.in/downloads/riskometer,https://assets-netstorage.growwmf.in/compliance_docs/Downloads/Riskometer/Riskometer%20-%202026%20-%202027.xlsx,"Riskometer Disclosure — FY 2026-27 (monthly, Apr-Aug 2026)",Groww Asset Management Limited,,,riskometer_disclosure,2026-09-21,2026-08-31
kfintech-capital-gains-statement,https://mfs.kfintech.com/investor/General/CapitalGainsLossAccountStatement,https://mfs.kfintech.com/investor/General/CapitalGainsLossAccountStatement,Capital Gains/Loss Account Statement,KFin Technologies Limited (RTA),,,statement_guidance,2026-09-21,
amfi-investor-corner,https://www.amfiindia.com/investor,https://www.amfiindia.com/investor,Investor Corner,AMFI,,,investor_education,2026-09-21,
amfi-tax-regime,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=TaxRegimeForMutualFunds,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=TaxRegimeForMutualFunds,Tax Regime for Mutual Funds (STALE — states FY 2024-25),AMFI,,,tax_guidance,2026-09-21,FY 2024-25
amfi-categorization,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=CategorizationOfMutualFundSchemes,https://www.amfiindia.com/investor/knowledge-center-info?zoneName=CategorizationOfMutualFundSchemes,Categorization of Mutual Fund Schemes,AMFI,,,regulatory_explainer,2026-09-21,per SEBI Oct 2017 circular
